"name","description",lat,lon
"Adopt immo","30 rue geoffroy saint hilaire  75005 paris 5ème 75005
01 47 07 61 69",48.840635,2.356278
"Adt partners","35 rue brunel 75017 paris 75017
01 58 05 20 50",48.879092,2.287449
"Affinity home","15 rue de miromesnil  75008 paris 8ème 75008
01 40 56 98 61",48.872188,2.315968
"Afimmo 75","6 rue de la michodiere  75002 paris 75002
01 40 55 02 80",48.869462,2.334704
"Ag patrimoine","55 avenue marceau  75116 paris 16ème 75116
06 15 22 23 22",48.869686,2.297955
"Agec","73 75 rue de la plaine 75020 paris 20ème 75020
01 48 44 41 41",48.850368,2.405166
"Agena immobilier","1 rue salneuve  75017 paris 75017
01 47 64 31 31",48.884577,2.314688
"Agence 18eme avenue , doudeauville","39b rue doudeauville  75018 paris 18ème 75018
01 46 06 86 60",48.888445,2.353963
"Agence 18eme avenue , mont cenis","81 rue du mont cenis  75018 paris 75018
01 42 64 27 69",48.89284,2.34441
"Agence 18eme avenue , ramey","8 rue ramey  75018 paris 75018
01 42 55 46 06",48.887639,2.347354
"Agence 18eme avenue, caulaincourt","59 rue caulaincourt  75018 paris 75018
01 42 58 06 06",48.889574,2.335173
"Agence abaci","54 rue de la convention 75015 paris 75015
01 45 78 81 81",48.843633,2.282096
"Agence abi","16 rue de vintimille  75009 paris 75009
01 44 63 05 10",48.882397,2.329279
"Agence agt bastille","19 bd beaumarchais  75004 paris 75004
01 42 78 10 20",48.855139,2.368405
"Agence aich","102 rue legendre  75017 paris 75017
01 46 27 54 16",48.887769,2.320545
"Agence alba","25 rue gassendi 75014 paris 75014
01 45 75 10 10",48.834435,2.326551
"Agence alin","110 boulevard brune  75014 paris 75014
01 45 39 75 50",48.82413,2.320613
"Agence amouyal freres et fils","9 rue bremontier  75017 paris 75017
01 46 22 07 77",48.884501,2.304044
"Agence aramys","46b rue de clichy  75009 paris 9ème 75009
01 42 81 59 59",48.879774,2.329253
"Agence armaillé","7 rue armaille  75017 paris 75017
01 40 54 83 32",48.877431,2.29191
